dstport,protocol,tag
37305,tcp,sv_P0
60735,tcp,sv_P1
5102,udp,sv_P2
7233,udp,sv_P3
51688,udp,sv_P4
9761,udp,sv_P5
13289,udp,sv_P6
31864,udp,sv_P7
36094,tcp,sv_P8
47046,udp,sv_P9
22416,tcp,sv_P10
15000,tcp,sv_P11
12766,udp,sv_P12
12631,tcp,sv_P13
3195,tcp,sv_P14
14034,udp,sv_P15
63907,tcp,sv_P16
6511,udp,sv_P17
41792,tcp,sv_P18
29076,udp,sv_P19
2946,udp,sv_P20
59726,tcp,sv_P21
28868,udp,sv_P22
6979,tcp,sv_P23
39656,udp,sv_P24
9592,udp,sv_P25
3274,tcp,sv_P26
42059,tcp,sv_P27
4014,udp,sv_P28
28895,udp,sv_P29
62943,udp,sv_P30
21956,tcp,sv_P31
54660,udp,sv_P32
2728,udp,sv_P33
3488,tcp,sv_P34
36128,udp,sv_P35
27022,udp,sv_P36
63918,udp,sv_P37
63865,udp,sv_P38
6750,udp,sv_P39
1743,tcp,sv_P40
788,udp,sv_P41
59406,tcp,sv_P42
46398,udp,sv_P43
41834,tcp,sv_P44
18034,tcp,sv_P45
43735,tcp,sv_P46
7535,tcp,sv_P47
62855,tcp,sv_P48
22572,udp,sv_P49
46667,udp,sv_P50
4074,udp,sv_P51
38189,udp,sv_P52
57678,tcp,sv_P53
9561,udp,sv_P54
12699,tcp,sv_P55
40510,udp,sv_P56
10203,tcp,sv_P57
8117,udp,sv_P58
46503,udp,sv_P59
43467,tcp,sv_P60
4286,tcp,sv_P61
26045,tcp,sv_P62
21105,tcp,sv_P63
57208,tcp,sv_P64
54516,udp,sv_P65
3965,tcp,sv_P66
26503,udp,sv_P67
18081,tcp,sv_P68
61138,udp,sv_P69
52695,udp,sv_P70
42091,tcp,sv_P71
63519,udp,sv_P72
4826,tcp,sv_P73
62369,tcp,sv_P74
41529,tcp,sv_P75
64258,udp,sv_P76
51559,udp,sv_P77
2515,tcp,sv_P78
34526,tcp,sv_P79
34901,tcp,sv_P80
37106,tcp,sv_P81
20389,udp,sv_P82
49398,udp,sv_P83
35877,tcp,sv_P84
24803,udp,sv_P85
20063,tcp,sv_P86
5629,udp,sv_P87
50615,udp,sv_P88
10545,tcp,sv_P89
42452,udp,sv_P90
44967,tcp,sv_P91
4161,udp,sv_P92
50912,udp,sv_P93
27033,tcp,sv_P94
57545,tcp,sv_P95
47294,udp,sv_P96
65167,udp,sv_P97
36948,udp,sv_P98
51225,tcp,sv_P99
20267,udp,sv_P0
32454,udp,sv_P1
61891,udp,sv_P2
3688,tcp,sv_P3
8484,tcp,sv_P4
9811,tcp,sv_P5
3627,tcp,sv_P6
17922,udp,sv_P7
41927,udp,sv_P8
54435,tcp,sv_P9
41204,tcp,sv_P10
30604,tcp,sv_P11
19932,udp,sv_P12
60372,udp,sv_P13
59014,udp,sv_P14
25566,udp,sv_P15
49682,tcp,sv_P16
59885,tcp,sv_P17
19455,tcp,sv_P18
26747,tcp,sv_P19
14565,tcp,sv_P20
48793,udp,sv_P21
36424,udp,sv_P22
9189,udp,sv_P23
12398,udp,sv_P24
21739,tcp,sv_P25
63655,udp,sv_P26
45712,udp,sv_P27
23501,tcp,sv_P28
34959,udp,sv_P29
53996,udp,sv_P30
721,tcp,sv_P31
18118,tcp,sv_P32
56145,tcp,sv_P33
57215,tcp,sv_P34
60619,udp,sv_P35
14093,udp,sv_P36
42211,udp,sv_P37
37479,udp,sv_P38
27586,tcp,sv_P39
20572,tcp,sv_P40
47448,udp,sv_P41
34369,udp,sv_P42
21642,udp,sv_P43
56408,udp,sv_P44
63318,udp,sv_P45
64346,udp,sv_P46
56243,udp,sv_P47
54736,tcp,sv_P48
50115,udp,sv_P49
28926,udp,sv_P50
28504,tcp,sv_P51
2791,udp,sv_P52
6237,tcp,sv_P53
35960,udp,sv_P54
17353,tcp,sv_P55
44671,udp,sv_P56
7183,tcp,sv_P57
25328,udp,sv_P58
25290,udp,sv_P59
49206,tcp,sv_P60
55729,udp,sv_P61
35051,tcp,sv_P62
54134,tcp,sv_P63
21260,tcp,sv_P64
20456,tcp,sv_P65
45387,tcp,sv_P66
5218,udp,sv_P67
2989,tcp,sv_P68
14704,tcp,sv_P69
18042,tcp,sv_P70
58462,tcp,sv_P71
7459,udp,sv_P72
64646,udp,sv_P73
21316,tcp,sv_P74
15811,udp,sv_P75
3656,tcp,sv_P76
40577,udp,sv_P77
4754,tcp,sv_P78
19546,tcp,sv_P79
59867,tcp,sv_P80
7502,tcp,sv_P81
10719,tcp,sv_P82
23053,tcp,sv_P83
41564,udp,sv_P84
54990,tcp,sv_P85
33377,tcp,sv_P86
40246,udp,sv_P87
36159,tcp,sv_P88
29684,tcp,sv_P89
20630,tcp,sv_P90
30450,udp,sv_P91
54301,tcp,sv_P92
34831,tcp,sv_P93
32114,tcp,sv_P94
57120,tcp,sv_P95
33591,udp,sv_P96
22914,udp,sv_P97
17376,udp,sv_P98
52110,udp,sv_P99
52355,tcp,sv_P0
38444,udp,sv_P1
42940,tcp,sv_P2
10613,udp,sv_P3
1996,udp,sv_P4
27988,tcp,sv_P5
28260,udp,sv_P6
47010,udp,sv_P7
16731,tcp,sv_P8
26145,tcp,sv_P9
2864,tcp,sv_P10
55514,tcp,sv_P11
54259,tcp,sv_P12
4061,udp,sv_P13
22899,tcp,sv_P14
56230,tcp,sv_P15
9325,udp,sv_P16
11977,udp,sv_P17
28053,udp,sv_P18
48159,tcp,sv_P19
59580,udp,sv_P20
63226,tcp,sv_P21
3749,tcp,sv_P22
18950,tcp,sv_P23
43929,udp,sv_P24
2427,udp,sv_P25
64109,udp,sv_P26
18986,tcp,sv_P27
13216,tcp,sv_P28
40722,tcp,sv_P29
30692,udp,sv_P30
63689,tcp,sv_P31
40729,udp,sv_P32
17336,tcp,sv_P33
27434,udp,sv_P34
38739,udp,sv_P35
64646,udp,sv_P36
49893,tcp,sv_P37
25065,tcp,sv_P38
55199,tcp,sv_P39
25492,tcp,sv_P40
27668,udp,sv_P41
2954,udp,sv_P42
49346,udp,sv_P43
55957,tcp,sv_P44
34652,tcp,sv_P45
21499,tcp,sv_P46
9307,tcp,sv_P47
19289,udp,sv_P48
1520,tcp,sv_P49
26802,udp,sv_P50
24148,tcp,sv_P51
31272,udp,sv_P52
56143,tcp,sv_P53
50941,tcp,sv_P54
48027,tcp,sv_P55
49835,tcp,sv_P56
54536,tcp,sv_P57
63495,udp,sv_P58
58843,udp,sv_P59
43673,tcp,sv_P60
60245,udp,sv_P61
3821,udp,sv_P62
38951,tcp,sv_P63
22717,udp,sv_P64
42763,udp,sv_P65
60260,udp,sv_P66
1163,tcp,sv_P67
49222,tcp,sv_P68
4512,udp,sv_P69
19078,tcp,sv_P70
32535,tcp,sv_P71
22650,udp,sv_P72
2692,udp,sv_P73
9317,tcp,sv_P74
18459,udp,sv_P75
27355,tcp,sv_P76
13725,udp,sv_P77
6976,udp,sv_P78
47795,udp,sv_P79
63886,udp,sv_P80
20086,tcp,sv_P81
27531,udp,sv_P82
48218,tcp,sv_P83
9280,tcp,sv_P84
24480,udp,sv_P85
63135,tcp,sv_P86
57586,udp,sv_P87
12634,udp,sv_P88
61425,tcp,sv_P89
162,tcp,sv_P90
6784,udp,sv_P91
8765,tcp,sv_P92
16263,udp,sv_P93
12903,tcp,sv_P94
32159,udp,sv_P95
52856,tcp,sv_P96
31173,tcp,sv_P97
62765,tcp,sv_P98
5239,tcp,sv_P99
46677,tcp,sv_P0
7243,udp,sv_P1
45996,tcp,sv_P2
33538,udp,sv_P3
14347,tcp,sv_P4
63051,tcp,sv_P5
49931,tcp,sv_P6
59855,tcp,sv_P7
7068,udp,sv_P8
30419,udp,sv_P9
18473,tcp,sv_P10
38287,tcp,sv_P11
2588,udp,sv_P12
32026,tcp,sv_P13
51672,tcp,sv_P14
46530,udp,sv_P15
10672,tcp,sv_P16
19808,udp,sv_P17
15010,udp,sv_P18
31946,udp,sv_P19
39852,udp,sv_P20
42097,tcp,sv_P21
39263,udp,sv_P22
26858,udp,sv_P23
22535,udp,sv_P24
39576,udp,sv_P25
54080,tcp,sv_P26
35535,udp,sv_P27
17948,udp,sv_P28
806,udp,sv_P29
16583,udp,sv_P30
43333,tcp,sv_P31
47525,udp,sv_P32
63505,tcp,sv_P33
20238,tcp,sv_P34
64866,tcp,sv_P35
13387,udp,sv_P36
32376,udp,sv_P37
13875,tcp,sv_P38
60067,udp,sv_P39
41002,tcp,sv_P40
50619,udp,sv_P41
